아파트ID,아파트명,지번주소,위도,경도,동수,세대수,임대수,용적률,건폐율,주차대수,건설사
120686,호림리슈리안(406-46),서울시 은평구 갈현동 406-46,37.621928,126.918371,1,13,0,231,38,14,(주)운정향
147087,"호림리슈리안(469-1,민간임대)",서울시 은평구 갈현동 469-1,37.613102,126.91453,1,88,88,249,49,112,(주)호림이앤씨
165498,효민아크로뷰(주상복합),서울시 은평구 갈현동 395-2,37.620591,126.919793,1,42,0,799,59,37,주식회사효민종합건설
130578,힐튼,서울시 은평구 갈현동 327-15,37.616194,126.909988,1,9,0,199,53,10,(주)예청종합건설
9185,e-편한세상2단지,서울시 은평구 구산동 546,37.612176,126.905314,2,122,0,237,23,179,(주)삼호
9184,갈현e-편한세상1단지,서울시 은평구 구산동 547,37.612159,126.906368,3,327,0,300,22,399,(주)삼호
19620,갈현두일,서울시 은평구 구산동 308-3,37.618554,126.90513,1,17,0,238,44,20,(주)새광종합건설
1231,갈현현대,서울시 은평구 구산동 382,37.612911,126.90587,4,366,0,306,23,373,현대건설(주)
9354,경남아너스빌,서울시 은평구 구산동 224,37.605754,126.905499,9,475,0,268,18,627,경남기업(주)
776,경향파크,서울시 은평구 구산동 162-1,37.61078,126.90568,2,171,0,244,21,300,경향건설(주)
16447,구산,서울시 은평구 구산동 199-25,37.61288,126.91345,1,16,0,311,47,24,(주)기업정동건설
102308,구산그린빌,서울시 은평구 구산동 226,37.605534,126.904121,2,203,153,151,18,146,성원산업개발(주)
17701,구산브라운스톤,서울시 은평구 구산동 159-10,37.611603,126.909536,6,189,0,245,24,228,이수건설(주)
126442,그린,서울시 은평구 구산동 24-77,37.608271,126.912106,1,10,0,199,53,10,
27242,금광포란재,서울시 은평구 구산동 355-82,37.61351,126.90535,2,25,0,261,46,32,(주)금광건업
161444,뉴아름빌(도시형),서울시 은평구 구산동 3-3,37.6118,126.915413,1,8,0,299,59,5,조형종합건설주식회사
101801,뉴월드빌,서울시 은평구 구산동 16-28,37.610351,126.911559,1,14,0,241,36,15,뉴월드종합건설(주)
104542,동양,서울시 은평구 구산동 23-30,37.60761,126.913355,1,12,0,253,47,13,동양건설산업
1227,동익파크,서울시 은평구 구산동 355-95,37.614903,126.906849,2,208,0,270,24,170,동익건설
161442,두진아이브(도시형),서울시 은평구 구산동 3-50,37.611903,126.915536,1,8,0,342,59,4,(주)동진건설
14119,명남,서울시 은평구 구산동 167-1,37.609704,126.906868,1,16,0,303,47,17,명남종합건설(주)
115843,무지개,서울시 은평구 구산동 308-86,37.617279,126.903716,1,19,0,148,31,23,(주)진평건설
139263,벨뷰,서울시 은평구 구산동 321-28,37.616084,126.907452,1,25,0,249,45,20,(주)명가종합건설
111942,벽산스카이파크,서울시 은평구 구산동 355-90,37.614183,126.905002,1,12,0,149,31,13,(주)희연종합건설
108268,산호,서울시 은평구 구산동 21-61,37.607606,126.914884,1,10,0,246,49,10,소명건설주식회사
110878,새천년구산2차,서울시 은평구 구산동 213-4,37.612479,126.911709,1,12,0,241,52,12,(주)미왕건설
106032,새천년드림1차,서울시 은평구 구산동 213-17,37.612685,126.911593,1,19,0,274,45,24,천광산업개발(주)
104962,새천년드림3차,서울시 은평구 구산동 220-2,37.612078,126.914218,1,19,0,199,45,22,신의종합건설(주)
112460,세영,서울시 은평구 구산동 304-1,37.618138,126.905952,1,29,0,244,41,21,(주)포맨종합건설
10868,세화샤이닝1단지,서울시 은평구 구산동 222,37.608945,126.915476,1,45,0,290,35,53,(주)세화건설
10597,세화샤이닝2단지,서울시 은평구 구산동 223,37.608457,126.915222,1,39,0,298,33,55,(주)세화건설
106277,송학,서울시 은평구 구산동 24-59,37.608491,126.912062,1,16,0,199,42,16,씨씨앤종합건설
105427,신호,서울시 은평구 구산동 199-24,37.61295,126.912994,1,18,0,290,40,24,인우건설(주)
112138,에덴드림,서울시 은평구 구산동 14-21,37.611102,126.910903,1,10,0,254,59,10,
121312,엔에스,서울시 은평구 구산동 26-41,37.607697,126.910277,1,10,0,269,56,8,(주)엔에스건설
13428,예승빌라트,서울시 은평구 구산동 27-15,37.61041,126.910165,1,16,0,294,47,19,예승건설(주)
105703,온세,서울시 은평구 구산동 25-41,37.607993,126.911888,1,12,0,199,37,13,우민종합건설(주)
13656,우공아트빌,서울시 은평구 구산동 26-4,37.608898,126.910357,1,19,0,237,53,18,우공종합건설(주)
13490,우신(주상복합),서울시 은평구 구산동 25-53,37.607943,126.912688,1,18,0,295,57,20,(주) 덕화공영
125352,은평서해그랑블,서울시 은평구 구산동 548,37.616831,126.90638,2,146,0,249,19,138,(주)서해종합건설
119022,이안,서울시 은평구 구산동 308-81,37.616908,126.904215,1,10,0,199,54,10,(주)세이코하우징
132224,진성,서울시 은평구 구산동 347-1,37.614432,126.907285,1,5,0,298,59,5,
103151,천지로얄,서울시 은평구 구산동 202-8,37.613834,126.910149,1,12,0,249,44,13,신의종합건설(주)
107524,캐슬,서울시 은평구 구산동 18-10,37.609057,126.912892,1,18,0,199,37,25,(주)세이코하우징
16446,타워,서울시 은평구 구산동 308-5,37.61689,126.90345,1,16,0,310,46,13,
108985,태영홈,서울시 은평구 구산동 26-25,37.607737,126.910476,1,14,0,260,42,15,미왕건설(주)
112173,푸른솔,서울시 은평구 구산동 147-46,37.612493,126.908345,1,18,0,199,41,18,에스디건설주식회사
110434,플러스빌(주상복합),서울시 은평구 구산동 1-9,37.610848,126.916592,1,8,0,392,57,4,(주)산태종합건설
103543,한국프라우드,서울시 은평구 구산동 225,37.608875,126.907877,1,28,0,199,38,28,
9569,한성산장,서울시 은평구 구산동 169-1,37.60922,126.90677,1,19,0,0,0,0,㈜한성주택
145393,힐튼렉스빌,서울시 은평구 구산동 3-24,37.611502,126.914964,1,8,0,296,59,5,(주)세원건설
121899,CS아르체(도시형),서울시 은평구 녹번동 81-17,37.60385,126.925667,3,49,0,249,49,38,씨에스종합건설(주)
134903,DH팰리스타워(주상복합),서울시 은평구 녹번동 83-26,37.602566,126.926785,1,29,0,359,59,16,대한팰리스종합건설(주)
116064,거성,서울시 은평구 녹번동 83-37,37.602745,126.928312,1,14,0,298,46,15,(주)예성디앤에쓰
128002,거장메카(주상복합),서울시 은평구 녹번동 183-2,37.602201,126.927944,1,44,0,359,42,36,주식회사생보부동산신탁
135628,거장카운티(주상복합),서울시 은평구 녹번동 182,37.602172,126.927149,1,42,0,359,59,34,(주)성안종합건설
110029,경원파발리안(주상복합),서울시 은평구 녹번동 83-16,37.602499,126.927823,1,24,0,325,58,20,광장종합건설(주)
108986,굿모닝기룡(83-18),서울시 은평구 녹번동 83-18,37.602881,126.927194,1,16,0,288,46,14,지엠케이종합건설(주)
126393,굿모닝기룡(96-6),서울시 은평구 녹번동 96-6,37.605653,126.929447,1,16,0,245,32,21,굿모닝기륭건설(주)
8830,녹번JR,서울시 은평구 녹번동 280-1,37.600179,126.93832,5,341,0,342,30,316,진로건설(주)
166420,녹번파크빌,서울시 은평구 녹번동 90-2,37.603318,126.930499,1,14,0,274,44,16,이앤시종합건설(주)
10782,녹번현대2차,서울시 은평구 녹번동 278-1,37.605357,126.925098,2,192,0,269,27,266,현대산업개발(주)
154504,다베로(주상복합),서울시 은평구 녹번동 83-62,37.602537,126.927611,1,12,0,359,56,8,지호종합건설주식회사
122340,대경아르체(주상복합),서울시 은평구 녹번동 176-3,37.602364,126.921957,1,16,0,332,54,10,을미종합건설(주)
778,대림,서울시 은평구 녹번동 276,37.599773,126.937239,3,370,0,240,22,281,(주)대림산업
104352,동호스카이(주상복합),서울시 은평구 녹번동 141-8,37.608131,126.925964,1,27,0,199,59,27,(유)동호에스제이종합개발
111575,래미안베라힐즈,서울시 은평구 녹번동 283,37.604144,126.936406,20,1305,259,236,25,1407,삼성물산(주)
146918,루체하임-2(도시형),서울시 은평구 녹번동 118-82,37.607311,126.930888,1,12,0,206,49,5,(주)씨티디벨로핑
102782,리베하임,서울시 은평구 녹번동 29-108,37.604454,126.932812,1,19,0,154,37,23,(주)에이치에피씨
134623,마하나임(주상복합),서울시 은평구 녹번동 176-4,37.602251,126.921916,1,12,0,399,59,6,미가건설(주)
107610,북한산푸르지오,서울시 은평구 녹번동 281,37.606856,126.936368,22,1230,155,222,23,1532,(주)대우건설
25548,산수,서울시 은평구 녹번동 86-20,37.60377,126.929945,1,12,0,195,38,13,(주)광명종합건설
