아파트ID,아파트명,지번주소,위도,경도,동수,세대수,임대수,용적률,건폐율,주차대수,건설사
146479,YH빌리지,서울시 강남구 개포동 1237-8,37.478247,127.04667,1,16,0,297,59,9,(주)세담종합건설
881,개포더샵트리에,서울시 강남구 개포동 651-1,37.484809,127.057097,2,232,0,355,30,305,(주)포스코건설
119219,개포래미안포레스트,서울시 강남구 개포동 1282,37.478448,127.054031,31,2296,120,249,21,3961,삼성물산(주)
140057,개포비버리하임(도시형),서울시 강남구 개포동 1193-5,37.474555,127.049412,2,29,0,199,57,30,(주)덕인컨스텍
107513,개포상지리츠빌,서울시 강남구 개포동 176-1,37.487257,127.060199,1,18,0,202,31,41,상지건영(주)
8928,개포자이,서울시 강남구 개포동 12-2,37.496437,127.077115,4,212,0,250,18,502,LG건설(주)
145017,개포자이르네,서울시 강남구 개포동 1283,37.478654,127.055232,1,28,0,199,57,38,자이에스앤디(주)
128527,개포자이프레지던스,서울시 강남구 개포동 189번지 일원,37.485251,127.07162,35,3375,220,249,18,5881,GS건설(주)
1298,개포주공5단지,서울시 강남구 개포동 187,37.487788,127.068006,6,940,0,151,12,912,대한주택공사
1303,개포주공6단지,서울시 강남구 개포동 185,37.488645,127.070472,9,1060,0,0,0,300,대한주택공사
1307,개포주공7단지,서울시 강남구 개포동 185,37.489561,127.072416,8,900,0,0,0,400,대한주택공사
103385,개포현대(200동),서울시 강남구 개포동 655-1,37.481772,127.052579,1,72,0,157,17,0,현대건설
10329,개포현대2차(220동),서울시 강남구 개포동 655-2,37.481215,127.052733,1,54,0,185,20,0,현대산업개발(주)
8967,개포현대5차,서울시 강남구 개포동 172-3,37.484319,127.060077,1,18,0,167,24,23,현대건설(주)
10863,개포현대6차,서울시 강남구 개포동 1242-2,37.479759,127.046004,1,19,0,238,42,19,현대산업개발(주)
28,경남,서울시 강남구 개포동 649,37.484623,127.054115,9,678,0,0,0,816,경남기업
127927,그루(주상복합),서울시 강남구 개포동 1229-6,37.47713,127.045622,1,20,0,359,58,21,주식회사에이치엠건설
152745,노블레스빌(도시형),서울시 강남구 개포동 1195-3,37.474849,127.048625,1,14,0,199,59,8,(주)지에스엠건설
118254,뉴현대파크빌,서울시 강남구 개포동 1164-30,37.474809,127.054818,1,10,0,231,49,10,남석건설(주)
419,대청,서울시 강남구 개포동 12,37.495077,127.077121,6,822,0,201,15,700,삼익건설(주)
483,대치2단지,서울시 강남구 개포동 12,37.494658,127.075486,11,1758,0,0,0,1758,"진덕산업(주),성원건설(주)"
166660,대치푸르지오발라드(도시형),서울시 강남구 개포동 176-2,37.487235,127.060511,1,78,0,199,32,90,(주)대우에스티
14947,더샵그린,서울시 강남구 개포동 1167,37.4733,127.052369,1,19,0,192,23,38,포스코개발주식회사
113151,디에이치아너힐즈,서울시 강남구 개포동 1281,37.484658,127.067248,23,1320,85,249,19,2120,현대건설(주)
134062,디에이치퍼스티어아이파크,서울시 강남구 개포동 660-1,37.480393,127.057099,74,6702,393,249,19,13154,"현대건설(주), 현대산업개발"
163642,라온(도시형),서울시 강남구 개포동 1169-5,37.47253,127.050983,1,10,0,199,57,8,(주)우영건설
112228,래미안블레스티지,서울시 강남구 개포동 1280,37.481058,127.064178,23,1957,112,249,18,3153,삼성물산
146839,런던빌개포,서울시 강남구 개포동 1194-1,37.474952,127.047937,1,15,0,249,49,13,(주)브릭스건설
104598,렉스힐(주상복합),서울시 강남구 개포동 157-9,37.483005,127.062547,1,8,0,358,59,7,대은종합건설 주식회사
102805,리더스,서울시 강남구 개포동 1164-25,37.474466,127.054806,1,10,0,259,53,11,(주)강남종합건설
11078,새롬,서울시 강남구 개포동 1164-14,37.47326,127.052901,3,41,0,0,0,12,
16228,쌍용개포(주상복합),서울시 강남구 개포동 655-3,37.481127,127.053085,1,16,0,291,44,37,쌍용건설(주)
124917,에버그린(주상복합),서울시 강남구 개포동 166-4,37.482932,127.061271,1,9,0,311,59,9,해청종합건설(주)
152528,예가풍경채(도시형),서울시 강남구 개포동 1218-12,37.477122,127.049481,1,14,0,198,59,8,(주)지앤지종합건설
667,우성3차,서울시 강남구 개포동 652,37.483998,127.056011,5,405,0,179,15,450,우성건설(주)
770,우성6차,서울시 강남구 개포동 658-1,37.476763,127.05721,8,270,0,106,21,270,우성건설(주)
818,우성8차,서울시 강남구 개포동 179,37.488147,127.062246,3,261,0,192,22,138,우성건설(주)
102377,우찬현대(101),서울시 강남구 개포동 1260-11,37.479471,127.048752,1,15,0,242,59,23,우찬종합건설(주)
102378,우찬현대(102),서울시 강남구 개포동 1260-4,37.479518,127.04908,1,10,0,239,58,15,우찬종합건설(주)
102379,우찬현대(103),서울시 강남구 개포동 1260-2,37.479506,127.048628,1,10,0,239,58,15,우찬종합건설(주)
110128,포이벨리,서울시 강남구 개포동 1164-28,37.47462,127.055156,1,10,0,268,52,12,환일종합건설(주)
113016,한림,서울시 강남구 개포동 1164-20,37.473981,127.054096,1,12,0,298,52,12,(주)그린건설
1317,현대1차,서울시 강남구 개포동 653,37.482427,127.05447,6,416,0,179,15,453,현대산업개발
1321,현대2차,서울시 강남구 개포동 654,37.482796,127.051051,13,558,0,156,17,800,현대산업개발
1327,현대3차,서울시 강남구 개포동 177,37.488014,127.061354,5,198,0,147,17,100,현대건설
16229,현대빌라트,서울시 강남구 개포동 1165,37.474059,127.053694,1,14,0,221,37,26,현대산업개발(주)
140453,N168(도시형),서울시 강남구 논현동 128-6,37.513061,127.029552,1,132,0,359,59,69,태평양개발(주)
17533,강남파라곤(주상복합),서울시 강남구 논현동 241-1,37.516614,127.040137,1,58,0,789,58,41,(주)동양고속건설
8431,거평프리젠,서울시 강남구 논현동 196,37.506376,127.027679,1,113,0,332,36,72,거평건설주식회사
1332,경남논현,서울시 강남구 논현동 274,37.51065,127.038175,1,60,0,222,34,60,경남기업(주)
105408,골든캐슬,서울시 강남구 논현동 103-11,37.519667,127.03883,1,7,0,199,40,13,아시아건설주식회사
26196,그랑디오스,서울시 강남구 논현동 268-12,37.511248,127.042796,1,15,0,242,54,31,씨앤엔종합건설(주)
136172,기린힐스(도시형),서울시 강남구 논현동 130-9,37.512999,127.030891,1,249,0,295,43,169,대림건설주식회사
144406,꿈꾸지오(도시형),서울시 강남구 논현동 269-1,37.511581,127.041822,2,28,0,198,59,16,더존건설주식회사
14671,논현e-편한세상,서울시 강남구 논현동 195-1,37.506748,127.029156,1,63,0,249,26,95,(주)삼호건설
104277,논현대우멤버스카운티,서울시 강남구 논현동 30-2,37.516721,127.027782,1,19,0,149,46,38,대우건설
138264,논현더라움,서울시 강남구 논현동 242-45,37.515216,127.041199,1,16,0,230,49,8,자산건설(주)
8936,논현동부센트레빌,서울시 강남구 논현동 275,37.51035,127.037717,4,160,0,298,20,239,동부건설(주)
8971,논현동양파라곤,서울시 강남구 논현동 245,37.514851,127.038281,4,203,0,264,22,572,동양고속건설(주)
9765,논현두산위브1단지,서울시 강남구 논현동 252-1,37.513536,127.038366,2,130,0,226,27,174,두산산업개발(주)
101321,논현두산위브2단지,서울시 강남구 논현동 258,37.51257,127.038141,2,136,0,244,28,176,두산산업개발(주)
106971,논현라폴리움,서울시 강남구 논현동 252,37.514108,127.038845,1,18,0,185,27,72,삼성중공업(주)
108089,논현멤버스카운티,서울시 강남구 논현동 24,37.514187,127.023268,1,11,0,149,44,19,
10727,논현베르빌,서울시 강남구 논현동 214-2,37.512671,127.032812,1,65,0,270,34,121,(주)건설알포메
102760,논현브라운스톤로얄스위트,서울시 강남구 논현동 43-3,37.513295,127.024298,1,19,0,202,43,43,이수건설(주)
127488,논현빌라트,서울시 강남구 논현동 102-9,37.519248,127.039963,1,10,0,264,59,8,
18,논현신동아파밀리에,서울시 강남구 논현동 22,37.514887,127.022874,6,644,0,245,26,684,신동아건설(주)
121973,논현아이파크(주상복합),서울시 강남구 논현동 225-6,37.510439,127.036096,1,99,0,359,51,276,HDC아이앤콘스(주)
121579,논현아테나니케,서울시 강남구 논현동 28-17,37.515026,127.026998,1,12,0,149,41,19,(주)넥서스건설
13165,논현아트빌,서울시 강남구 논현동 215-14,37.512423,127.032238,1,11,0,242,49,14,참진건설
26416,논현아펠바움1차,서울시 강남구 논현동 250,37.513417,127.037033,4,38,0,149,45,74,에스케이건설(주)
103939,논현아펠바움2차,서울시 강남구 논현동 260,37.512642,127.036941,3,38,0,140,42,144,에스케이건설(주)
172219,논현알베로(도시형),서울시 강남구 논현동 162-5,37.508692,127.024806,1,14,0,198,59,5,(주)삼경씨앤씨
22828,논현월드메르디앙,서울시 강남구 논현동 212-13,37.51359,127.033897,1,82,0,236,27,107,(주)월드건설
27822,논현웰스톤(주상복합),서울시 강남구 논현동 108,37.518399,127.03801,1,38,0,296,59,91,아시아건설(주)
109991,논현테크노빌,서울시 강남구 논현동 266-21,37.512167,127.041675,2,10,0,149,53,18,(주)윈테크플랜
137945,논현파크빌(도시형),서울시 강남구 논현동 122-17,37.510615,127.023885,1,27,0,194,49,9,
126259,"논현팰리스(민간임대,도시형)",서울시 강남구 논현동 187-7,37.507057,127.028169,2,39,39,199,56,20,주식회사보경종합건설
138046,논현펜트힐캐스케이드(도시형),서울시 강남구 논현동 106,37.518148,127.035771,1,130,0,400,51,183,롯데건설(주)
100691,논현프라임(192-3),서울시 강남구 논현동 192-3,37.508157,127.032836,1,19,0,255,43,34,(주)프라임씨엔씨
9618,논현한가람,서울시 강남구 논현동 105-3,37.51872,127.03742,1,32,0,235,32,43,영동연립재건축조합
11616,논현한진로즈힐,서울시 강남구 논현동 105-4,37.520834,127.037141,2,81,0,222,30,124,(주)한진중공업건설부문
18195,논현한화꿈에그린,서울시 강남구 논현동 205-2,37.50705,127.030837,2,70,0,250,58,70,(주)한화건설
22571,논현한화꿈에그린2차,서울시 강남구 논현동 194-23,37.50757,127.03082,1,46,0,246,52,0,(주)한화건설
128649,논현힐스빌5차,서울시 강남구 논현동 32-4,37.517484,127.027858,1,7,0,149,39,20,(주)제이티건설
122670,논현힐스빌6차,서울시 강남구 논현동 32-3,37.517554,127.027553,1,4,0,149,40,11,(주)제이티건설
13362,더그레이스,서울시 강남구 논현동 212-20,37.513015,127.034165,1,9,0,211,47,12,이례건설(주)
121423,더원센트럴(주상복합),서울시 강남구 논현동 118-8,37.517187,127.039719,1,29,0,433,59,19,(주)수영종합건설
118925,더케이(도시형),서울시 강남구 논현동 110-12,37.518058,127.039142,1,16,0,199,59,7,(주)향진종합건설
114271,더클래식논현(도시형),서울시 강남구 논현동 23-8,37.513715,127.022833,2,14,0,149,55,20,석장건설주식회사
174940,도산포도더블랙(도시형),서울시 강남구 논현동 62-2,37.52059,127.032443,1,26,0,574,53,42,(주)플랜잇건
120589,동광팰리스(도시형),서울시 강남구 논현동 104-5,37.519331,127.038519,2,38,0,194,53,21,
3,동현,서울시 강남구 논현동 105,37.51938,127.036753,6,548,0,174,15,620,동산토건
114469,"동화(민간임대,도시형)",서울시 강남구 논현동 122-8,37.510668,127.023389,1,236,236,395,59,187,한신공영(주)
22333,두영,서울시 강남구 논현동 216-1,37.512172,127.032377,1,17,0,252,49,20,두영건설(주)
118649,라디안,서울시 강남구 논현동 47-10,37.513091,127.02252,1,10,0,221,56,13,이앤시종합건설(주)
107896,라이헤스빌,서울시 강남구 논현동 109-9,37.518756,127.038718,1,13,0,257,59,15,케이씨종합건설(주)
103370,로체샤르캐슬,서울시 강남구 논현동 114-23,37.517255,127.036916,1,17,0,199,46,28,(주)가남종합건설
144649,루시아도산208(도시형),서울시 강남구 논현동 60-1,37.519658,127.029458,1,55,0,568,38,55,DL건설
101877,리더스빌,서울시 강남구 논현동 192-1,37.508253,127.032484,1,19,0,262,59,28,(주)리더스시오
166317,리안빌리지(도시형),서울시 강남구 논현동 197-9,37.506231,127.026798,1,24,0,188,59,7,리안종합건설(주)
117690,리츠하우스,서울시 강남구 논현동 25-2,37.514449,127.025042,1,12,0,165,45,46,하광주택건설(주)
106453,마블하우스,서울시 강남구 논현동 267-23,37.512389,127.042408,1,12,0,200,34,25,(주)주완건설
10825,마일스디오빌(주상복합),서울시 강남구 논현동 58-2,37.51379,127.02892,1,260,0,599,54,200,(주)대우건설
151378,베스티움(도시형),서울시 강남구 논현동 224,37.510594,127.034227,1,15,0,199,58,6,라이브종합건설주식회사
103839,벨러스빌,서울시 강남구 논현동 47-11,37.512966,127.022639,1,10,0,239,58,18,kc건설(주)
105867,보노체아(도시형),서울시 강남구 논현동 193-4,37.508101,127.031525,1,22,0,199,58,7,(주)비에이치종합건설
148925,보타니끄논현(주상복합),서울시 강남구 논현동 218-27 외 1필지,37.511839,127.035396,1,29,0,567,53,42,두산건설(주)
151286,브라이튼N40,서울시 강남구 논현동 40,37.514362,127.026587,5,148,120,199,43,326,(주)포스코건설
151583,블레스홈(도시형),서울시 강남구 논현동 265-10,37.512593,127.040877,1,17,0,149,50,11,(주)향진종합건설
106267,비쥬힐,서울시 강남구 논현동 39-10,37.514834,127.027366,1,10,0,279,52,11,금강산업개발(주)
106667,삼성빌라트,서울시 강남구 논현동 79-5,37.516543,127.031359,1,19,0,227,39,21,(주)중이건설
152744,서진플로렌스190(도시형),서울시 강남구 논현동 190-1,37.508409,127.031117,1,19,0,196,57,10,서진종합건설주식회사
18190,세호시티라이프(주상복합),서울시 강남구 논현동 122-25,37.510475,127.024334,1,19,0,268,59,22,(주)삼풍
107165,스위트캐슬,서울시 강남구 논현동 35-1,37.516456,127.028498,2,16,0,149,44,33,유엘아이엠컨설턴트(주)
105430,스위트케슬레지던스,서울시 강남구 논현동 55,37.512535,127.023889,1,17,0,266,57,38,유엘아이엠건설주식회사
103455,신동아,서울시 강남구 논현동 222-18,37.51024,127.034088,2,12,0,87,0,0,신동아건설(주)
29,쌍용,서울시 강남구 논현동 103,37.519716,127.038185,1,111,0,333,37,105,남광토건주식회사
137269,아나하(도시형),서울시 강남구 논현동 247-1,37.514213,127.036847,1,16,0,149,57,30,(주)제이빌더스
141007,아츠논현(도시형),서울시 강남구 논현동 249-9,37.512201,127.036029,1,24,0,513,53,24,(주)호반건설
108825,아크로힐스논현,서울시 강남구 논현동 276-1,37.509594,127.038948,4,368,34,299,24,645,대림산업(주)
113911,알파임하우스Ⅱ,서울시 강남구 논현동 24-11,37.514256,127.023934,2,16,0,173,46,50,우연종합건설주식회사
18191,애플타운(주상복합),서울시 강남구 논현동 16-42,37.515053,127.021164,1,19,0,265,50,16,승민종합건설주식회사
148208,엔트라움논현(도시형),서울시 강남구 논현동 172-1,37.508269,127.028619,1,14,0,199,59,8,(주)바우건설
16236,예원베스트빌,서울시 강남구 논현동 229-21,37.509113,127.035188,1,8,0,217,59,11,(주)삼중종합건설
142720,요진보네르,서울시 강남구 논현동 46-3,37.513054,127.022962,1,9,0,231,59,13,요진산업주식회사
140981,우림빌(도시형),서울시 강남구 논현동 188-6,37.507402,127.029313,1,19,0,199,59,6,(주)신원개발
147626,우림스타빌(도시형),서울시 강남구 논현동 197-7,37.506228,127.026609,1,19,0,197,58,10,(주)세광종합건설
8774,우민,서울시 강남구 논현동 107-44,37.51787,127.03739,1,70,0,269,47,75,(주)영화종합기술단 건축사사무소
25173,우성,서울시 강남구 논현동 180-6,37.507577,127.028082,1,14,0,239,39,18,우성휠건설(주)
16231,월드노블레스빌,서울시 강남구 논현동 45,37.513538,127.023141,1,12,0,234,59,23,월드공영주식회사
105458,월드쉐르빌,서울시 강남구 논현동 138-9,37.510284,127.026093,1,15,0,243,53,14,부광종합건설(주)
106262,은탑리더스카운티,서울시 강남구 논현동 44-6,37.513292,127.023902,1,18,0,299,59,30,은탑산업개발(주)
103299,이산,서울시 강남구 논현동 194-22,37.507194,127.030722,1,11,0,198,49,12,(주)이산종합건설
107144,이움,서울시 강남구 논현동 229-13,37.50924,127.034123,1,10,0,199,43,17,
22667,제이빌,서울시 강남구 논현동 108-2,37.518118,127.037832,1,32,0,242,40,32,정일종합건설(주)
24205,지고하임,서울시 강남구 논현동 44-8,37.513713,127.023693,2,33,0,271,43,32,지고C&D
151599,진흥펠리체(도시형),서울시 강남구 논현동 190-2,37.508478,127.031283,2,40,0,0,0,20,주식회사 대성기업개발
3042,청학,서울시 강남구 논현동 62-3,37.520645,127.032822,3,70,0,220,51,50,청학
103371,케럿스테이트,서울시 강남구 논현동 267-18,37.512657,127.042178,1,16,0,245,49,26,(주)대신종합건설
106953,케이씨빌,서울시 강남구 논현동 104-23,37.519018,127.038771,1,12,0,199,36,19,케이씨종합건설(주)
10831,테크노빌라트,서울시 강남구 논현동 271-6,37.511222,127.040244,1,18,0,231,52,19,(주)윈테크플랜
102051,토미빌(228-9),서울시 강남구 논현동 228-9,37.508967,127.033855,3,24,0,188,50,47,(주)토미종합건설
150539,토미하우스(도시형),서울시 강남구 논현동 136-22,37.511675,127.026371,1,14,0,1991,59,6,일신공영주식회사
127036,펜트힐루논현(도시형),서울시 강남구 논현동 211-21,37.513806,127.035001,1,131,0,479,51,98,롯데건설(주)
25838,프라임(196-4),서울시 강남구 논현동 196-4,37.506589,127.028423,1,19,0,226,35,38,(주)프라임씨앤씨
24032,프라임(80-13),서울시 강남구 논현동 80-13,37.51623,127.030617,1,28,0,246,38,40,더블유이종합건설(주)
154452,"학동역이안테라디움(민간임대,도시형)",서울시 강남구 논현동 207,37.513824,127.031222,1,54,54,411,39,41,대우산업개발(주)
22907,학동참진,서울시 강남구 논현동 217-34,37.51262,127.03383,1,18,0,199,43,24,참진건설
11608,한양빌라트,서울시 강남구 논현동 79-7,37.517065,127.031307,1,19,0,253,45,32,
105866,한양수자인어반게이트(도시형),서울시 강남구 논현동 221-7,37.509749,127.033574,1,108,0,249,48,37,(주)한양건설
3043,현대넥서스(261-7),서울시 강남구 논현동 261-7,37.511845,127.036533,1,18,0,266,37,38,현대건설(주)
9360,현대넥서스(261-8),서울시 강남구 논현동 261-8,37.511596,127.036864,1,16,0,249,39,22,(주)현대건설
9395,현대인텔렉스(주상복합),서울시 강남구 논현동 261,37.511673,127.036354,1,42,0,1045,60,105,고려산업개발 주식회사
25646,휴먼스페이스(주상복합),서울시 강남구 논현동 192-15,37.507676,127.033476,1,18,0,309,58,19,황해건설(주)
103607,힐스빌7차,서울시 강남구 논현동 46-2,37.513274,127.022895,1,9,0,268,58,19,(주)제이티건설
10788,힐타워,서울시 강남구 논현동 53-1,37.512492,127.023086,1,16,0,299,59,25,은탑산업개발(주)
144828,힐튼빌(도시형),서울시 강남구 논현동 271-9,37.511114,127.040727,1,14,0,199,59,10,(주)토미하우스
16244,S-타워(주상복합),서울시 강남구 대치동 983-1,37.503447,127.065572,1,19,0,445,63,140,(주)삼성중공업
65,"개포우성1,2차",서울시 강남구 대치동 503,37.491424,127.059787,14,1140,0,179,15,1200,우성건설
11063,노빌리티빌리지,서울시 강남구 대치동 1017-1,37.497441,127.060433,1,14,0,254,41,29,신구종합건설(주)
111580,대치SK뷰,서울시 강남구 대치동 1029,37.495967,127.060322,4,239,0,247,26,421,에스케이건설(주)
10393,대치대우아이빌멤버스4차(주상복합),서울시 강남구 대치동 891-26,37.504642,127.053828,1,134,0,634,59,134,(주)대우건설
9906,대치대우아이빌명문가(주상복합),서울시 강남구 대치동 891-23,37.505138,127.053901,1,210,0,637,59,210,(주)대우건설
107810,대치더블유타워(도시형),서울시 강남구 대치동 952-2,37.505016,127.063471,1,149,0,199,53,100,우민산업개발(주)
152278,대치더클래스,서울시 강남구 대치동 1031,37.497342,127.060855,1,42,0,272,47,60,(주)스톤건설개발
22493,대치롯데캐슬리베,서울시 강남구 대치동 1025,37.496298,127.053809,2,144,0,299,20,270,롯데건설(주)
127973,대치르엘,서울시 강남구 대치동 1030,37.501638,127.064308,6,273,22,207,33,412,롯데건설(주)
135,대치삼성1차,서울시 강남구 대치동 1014-3,37.496538,127.059121,14,960,0,261,21,1259,삼성물산 주식회사
9782,대치삼성2차,서울시 강남구 대치동 1014-1,37.497046,127.057614,1,19,0,180,43,44,(주)삼성물산 주택개발부문
8994,대치삼성3차,서울시 강남구 대치동 1016-2,37.497535,127.059855,2,35,0,222,43,72,삼성물산(주)
105210,대치상지리츠빌카일룸,서울시 강남구 대치동 1009-4,37.501584,127.068208,1,15,0,249,42,42,상지건설(주)
185,대치쌍용1차,서울시 강남구 대치동 66번지 일원,37.497948,127.071001,5,630,0,169,13,670,쌍용건설(주)
166,대치쌍용2차,서울시 강남구 대치동 65번지 일대,37.499721,127.070685,4,364,0,176,12,364,쌍용건설(주)
19418,대치아이파크,서울시 강남구 대치동 888,37.494754,127.054575,11,768,0,274,14,1171,현대산업개발(주)
209,대치우성1차,서울시 강남구 대치동 63,37.500436,127.068889,6,476,0,179,14,498,우성건설(주)
13081,대치우정에쉐르1(주상복합),서울시 강남구 대치동 891-28,37.504627,127.054247,1,80,0,548,59,76,우정건설(주)
19313,대치우정에쉐르2(주상복합),서울시 강남구 대치동 890-42,37.504308,127.052611,1,18,0,434,59,17,우정건설(주)
102955,대치주성,서울시 강남구 대치동 962-20,37.50161,127.060109,1,14,0,266,46,20,주식회사 주성 종합건설
123312,대치타워,서울시 강남구 대치동 914-8,37.501743,127.058086,1,10,0,242,53,9,삼인종합건설(주)
135597,대치푸르지오써밋,서울시 강남구 대치동 1032,37.502438,127.060288,9,489,20,237,25,812,㈜대우건설
10297,대치풍림아이원1차,서울시 강남구 대치동 910-3,37.501695,127.054872,3,57,0,289,45,66,풍림산업(주)
13826,대치풍림아이원2차,서울시 강남구 대치동 910-7,37.501362,127.054967,2,33,0,269,43,61,풍림산업(주)
11620,대치풍림아이원3차,서울시 강남구 대치동 1007-1,37.504691,127.066834,1,42,0,296,24,73,풍림산업(주)
11621,대치풍림아이원4차,서울시 강남구 대치동 1007-2,37.504258,127.066704,1,33,0,298,29,58,풍림산업(주)
107149,대치하나빌,서울시 강남구 대치동 1015-6,37.497029,127.058482,1,12,0,297,57,28,지비건설(주)
22573,대치한신휴플러스,서울시 강남구 대치동 907-2,37.501432,127.051392,1,66,0,248,33,74,한신공영(주)
971,대치현대,서울시 강남구 대치동 974,37.500906,127.061068,8,630,0,341,23,711,(주)현대건설
3045,대치효성,서울시 강남구 대치동 988-4,37.50007,127.061219,1,83,0,296,21,125,(주)효성
116437,더힐하우스(도시형),서울시 강남구 대치동 920-27,37.499451,127.052869,4,44,0,185,53,36,(주)남경산업개발
22149,"동민맥스빌(A동,주상복합)",서울시 강남구 대치동 938-11,37.497826,127.055588,1,30,0,341,59,46,동민종합건설주식회사
101378,동민맥스빌(B동),서울시 강남구 대치동 938-13,37.497945,127.05588,1,18,0,282,54,29,동민종합건설주식회사
8710,동부센트레빌,서울시 강남구 대치동 670,37.493104,127.055557,7,805,0,297,19,1824,동부건설(주)
14104,동양,서울시 강남구 대치동 920-32,37.499793,127.052577,1,19,0,223,42,29,종합건설(주)
107916,래미안대치팰리스1단지,서울시 강남구 대치동 1027,37.494375,127.057833,13,1278,20,258,15,2478,삼성물산주식회사
107917,래미안대치팰리스2단지,서울시 강남구 대치동 1028,37.494936,127.061199,4,330,20,258,15,601,삼성물산주식회사
972,래미안대치하이스턴,서울시 강남구 대치동 985,37.501371,127.065157,5,354,0,347,40,461,삼성물산
125239,로프트아파트먼트대치(도시형),서울시 강남구 대치동 908-4,37.500705,127.051929,1,16,0,249,46,15,대호아이피종합건설(주)
3303,롯데캐슬,서울시 강남구 대치동 893,37.505115,127.056706,3,142,0,315,28,246,롯데건설주식회사
102910,메트로,서울시 강남구 대치동 901-51,37.502997,127.055466,1,11,0,296,58,12,주식회사 엠제이건설
23612,미소시티,서울시 강남구 대치동 904-10,37.502617,127.056398,1,18,0,329,46,50,평산건설(주)
19488,삼환SOGOOD(주상복합),서울시 강남구 대치동 938-16,37.497556,127.055682,1,37,0,359,53,70,(주)삼환까뮤
154,"선경1,2차",서울시 강남구 대치동 506,37.49228,127.062918,12,1034,0,179,13,1661,선경건설(주)
9005,선경3차,서울시 강남구 대치동 602,37.494174,127.060947,1,54,0,204,22,0,선경건설(주)
12231,선릉역대우아이빌5차(주상복합),서울시 강남구 대치동 890-49,37.504498,127.051602,1,150,0,694,59,154,(주)대우건설
15236,선릉역풍림아이원레몬(주상복합),서울시 강남구 대치동 890-54,37.504226,127.051481,1,44,0,686,59,79,풍림산업(주)
15132,세연파크뷰,서울시 강남구 대치동 929-8,37.500147,127.058556,1,19,0,269,59,21,세연개발(주)
3304,세영팔레스,서울시 강남구 대치동 975-20,37.50085,127.06214,1,67,0,237,32,74,세영종합건설(주)
17690,스카이써밋,서울시 강남구 대치동 915-13,37.501137,127.058351,1,10,0,299,55,14,랜드종합건설(주)
162642,스톤빌리지(도시형),서울시 강남구 대치동 934-2,37.498747,127.05607,2,28,0,199,52,18,글로벌종합건설
128876,스톤빌리지대치2차(도시형),서울시 강남구 대치동 934-8,37.498846,127.056706,2,25,0,195,53,20,글로벌종합건설(주)
126762,스톤빌리지대치3차(도시형),서울시 강남구 대치동 910-11,37.501121,127.054262,2,22,0,199,58,17,글로벌종합건설(주)
127277,스톤빌리지대치4차(도시형),서울시 강남구 대치동 925,37.499847,127.055246,2,20,0,198,59,16,(주)에스엘건설개발
13148,아름빌,서울시 강남구 대치동 889-74,37.5034,127.050632,1,43,0,564,59,44,두웰건설
27002,아크로빌,서울시 강남구 대치동 1023-14,37.497173,127.057315,2,14,0,187,48,14,(주)아크로비종합건설
149040,아티드(도시형),서울시 강남구 대치동 903-30,37.503321,127.058132,2,56,0,0,38,0,
148650,아티스톤(주상복합),서울시 강남구 대치동 907-12,37.501061,127.051845,1,29,0,297,49,40,(주)에스엘건설개발
18946,우정에쉐르3,서울시 강남구 대치동 950,37.506908,127.062328,1,19,0,289,48,30,우정건설(주)
102216,월드빌,서울시 강남구 대치동 950-3,37.506594,127.062433,1,11,0,235,51,13,주영종합건설(주)
236,은마,서울시 강남구 대치동 316,37.49764,127.065056,28,4424,0,204,20,3021,한보주택
3047,청암빌라트,서울시 강남구 대치동 650,37.49245,127.057171,1,18,0,242,29,22,(주)청암 주택건설
22676,청원,서울시 강남구 대치동 934-1,37.498433,127.056055,1,19,0,260,59,23,주식회사청원건설
9579,테헤란로대우아이빌(주상복합),서울시 강남구 대치동 891-6,37.505663,127.054222,1,371,0,1096,49,280,(주)대우건설
11010,포스코더샵,서울시 강남구 대치동 902,37.504102,127.057307,4,276,0,299,19,655,(주)포스코건설
102325,하이캐슬,서울시 강남구 대치동 986-14,37.500568,127.063855,2,67,0,249,26,67,정문종합건설(주)
105,"한보미도맨션1,2차",서울시 강남구 대치동 511,37.493541,127.067516,21,2436,0,179,15,2906,한보주택(주)
11167,한보미도맨션3차,서울시 강남구 대치동 601-1,37.494596,127.061803,1,18,0,189,22,28,(주) 한보주택
23995,한양팰리스,서울시 강남구 대치동 941-13,37.499211,127.059755,1,14,0,237,41,18,만양건설(주)
24735,한티,서울시 강남구 대치동 933-35,37.499028,127.057213,2,22,0,249,49,32,"정문종합건설(주),(주)광백개발"
973,현대,서울시 강남구 대치동 992,37.499994,127.065332,1,120,0,243,20,55,현대건설
113852,현대썬앤빌테헤란(도시형),서울시 강남구 대치동 894,37.504415,127.054758,1,49,0,249,49,37,현대비에스앤씨(주)
24662,화인하이빌,서울시 강남구 대치동 950-5,37.506477,127.062503,1,18,0,292,52,24,화인 스페이스 건설(주)
271,개포럭키,서울시 강남구 도곡동 462,37.486173,127.046304,2,128,0,187,24,130,럭키개발(주)
276,개포우성4차,서울시 강남구 도곡동 465,37.485574,127.049184,8,459,0,149,17,0,우성건설(주)
294,개포우성5차,서울시 강남구 도곡동 463-1,37.486029,127.047425,4,180,0,179,28,144,우성건설(주)
304,개포한신,서울시 강남구 도곡동 464,37.486895,127.048905,8,620,0,145,17,930,한신건설(주)
